flow_packet_count,flow_byte_count,rx_packets,tx_packets,rx_bytes,tx_bytes,label
87774,126570108,43990,10848,63423780,15633142,1
1752,2526384,834,161,1202628,232162,1
1249,1801058,778,44,1121876,63448,1
1782,2569644,767,367,1106014,529214,1
1488,2145696,704,232,1015168,334544,1
1552,2237984,777,56,1120434,80752,1
1592,2295664,744,307,1072848,442694,1
1662,2396604,875,187,1260350,268272,1
1172,1690024,669,403,964698,581126,1
1479,2132718,785,261,1131970,376362,1
1414,2038988,655,57,944510,82194,1
1597,2302874,870,142,1254540,204764,1
1880,2710960,856,0,1234352,0,1
1482,2137044,784,0,1130528,0,1
1216,1753472,785,0,1131970,0,1
2033,2931586,864,0,1245888,0,1
1734,2500428,870,6,1254540,8652,1
1445,2083690,752,105,1084384,151410,1
1480,2134160,703,34,1010926,46264,1
1584,2284128,784,176,1130528,253792,1
1546,2229332,868,212,1251656,305704,1
1736,2503312,920,77,1326640,111034,1
1426,2056292,557,123,803194,177366,1
1675,2415350,784,14,1130528,20188,1
1649,2377858,870,0,1254540,0,1
1736,2503312,875,465,1261750,670530,1
1479,2132718,717,197,1033914,284074,1
1481,2135602,829,65,1195418,93730,1
1622,2338924,849,67,1222858,95232,1
1818,2621556,777,93,1120434,134106,1
1558,2246636,804,36,1159368,51912,1
1655,2386510,790,301,1139180,434042,1
1453,2095226,759,363,1094478,523446,1
1466,2113972,761,320,1097362,461440,1
1383,1994286,737,611,1062754,881062,1
1481,2135602,699,219,1007958,315798,1
1429,2060618,717,97,1033914,139874,1
1734,2500428,869,66,1253098,95172,1
1559,2248078,774,96,1114708,137050,1
1656,2387952,869,24,1253098,34608,1
1578,2275476,743,47,1071406,67774,1
1713,2470146,849,76,1224258,109592,1
1735,2501870,869,337,1253098,485954,1
1736,2503312,869,52,1253098,74984,1
1735,2501870,868,25,1251656,36050,1
1736,2503312,870,148,1254540,213416,1
1736,2503312,870,13,1254540,18746,1
1735,2501870,871,155,1255982,223510,1
1735,2501870,870,197,1253140,282692,1
1734,2500428,869,125,1253098,180250,1
1716,2474472,870,3,1254540,4326,1
1660,2393720,871,0,1255982,0,1
1736,2503312,870,0,1254540,0,1
1734,2500428,870,13,1254540,18746,1
1734,2500428,868,195,1251656,281190,1
1732,2497544,867,694,1250214,1000748,1
1619,2334598,813,136,1172346,196112,1
1564,2255288,870,63,1254540,90846,1
